date,pair_y,pair_x,direction,entry_time,exit_time,beta,pnl
2025-12-02,AUDCHF,CADCHF,Short Spread,2025-12-02 08:56:00,2025-12-02 23:59:00,0.766108861021103,-6.491733946784734
2025-12-03,CADCHF,AUDCHF,Long Spread,2025-12-03 16:22:00,2025-12-03 23:59:00,0.6934152370085034,-10.662747330274215
2025-12-03,AUDCAD,EURAUD,Short Spread,2025-12-03 15:12:00,2025-12-03 23:59:00,-0.3367591171923298,-4.096130293051829
2025-12-03,AUDCHF,CADCHF,Short Spread,2025-12-03 00:01:00,2025-12-03 23:59:00,0.8541522857250087,-44.1180313168461
2025-12-04,CADCHF,AUDCHF,Long Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,0.6699281968691709,7.600561338710577
2025-12-04,AUDCHF,CADCHF,Short Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,0.9805843956608357,-6.571792858228946
2025-12-04,AUDCAD,AUDCHF,Short Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,0.6786463355942203,8.059669579571164
2025-12-04,AUDCAD,EURAUD,Short Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,-0.3227211215114487,1.0553778001594765
2025-12-05,CADCHF,AUDCHF,Long Spread,2025-12-05 00:02:00,2025-12-05 09:01:00,0.6500720340481145,31.528525469390843
2025-12-05,CADCHF,AUDCHF,Short Spread,2025-12-05 10:56:00,2025-12-05 16:59:00,0.6500720340481145,-27.58251096084041
2025-12-05,CADCHF,EURCHF,Short Spread,2025-12-05 08:31:00,2025-12-05 16:59:00,0.6123479022515058,-74.19632834779077
2025-12-05,AUDCHF,CADCHF,Short Spread,2025-12-05 00:01:00,2025-12-05 16:59:00,1.058319954579875,85.20457550883657
2025-12-05,AUDCAD,EURAUD,Short Spread,2025-12-05 00:01:00,2025-12-05 08:50:00,-0.3225032352909536,33.38664982213595
2025-12-05,AUDCAD,EURAUD,Long Spread,2025-12-05 10:55:00,2025-12-05 16:59:00,-0.3225032352909536,-31.5486153226866
2025-12-07,CADCHF,AUDCHF,Short Spread,2025-12-07 00:01:00,2025-12-07 06:59:00,0.6513589440003246,14.821870289400977
2025-12-07,EURAUD,AUDCHF,Long Spread,2025-12-07 00:05:00,2025-12-07 06:59:00,-1.998391403928207,23.15516072360333
2025-12-07,CADCHF,EURCHF,Short Spread,2025-12-07 00:01:00,2025-12-07 06:59:00,0.620822225896673,18.449458536329985
2025-12-07,AUDCHF,EURAUD,Short Spread,2025-12-07 01:16:00,2025-12-07 06:59:00,-0.362873546741933,2.7488356059766375
2025-12-08,CADCHF,AUDCHF,Short Spread,2025-12-08 00:01:00,2025-12-08 23:59:00,0.6593232453342076,2.7113009875747593
2025-12-08,AUDCHF,CADCHF,Long Spread,2025-12-08 10:09:00,2025-12-08 23:22:00,1.103604949557639,43.77536218633577
2025-12-08,CADCHF,EURCHF,Short Spread,2025-12-08 00:01:00,2025-12-08 23:59:00,0.6263825043264256,9.793186619848711
2025-12-08,AUDCHF,EURAUD,Short Spread,2025-12-08 01:03:00,2025-12-08 23:59:00,-0.3667525235223104,-20.44829125461547
2025-12-09,CADCHF,AUDCHF,Short Spread,2025-12-09 00:01:00,2025-12-09 23:59:00,0.6863325662722406,2.930400105960871
2025-12-09,EURAUD,AUDCHF,Long Spread,2025-12-09 17:05:00,2025-12-09 23:59:00,-2.00097865540835,10.803321879835494
2025-12-09,CADCHF,EURCHF,Short Spread,2025-12-09 00:01:00,2025-12-09 23:59:00,0.6614572011818448,-9.971137762913713
2025-12-09,AUDCAD,EURAUD,Long Spread,2025-12-09 01:06:00,2025-12-09 23:59:00,-0.29595400949565076,-4.416885730377544
2025-12-10,CADCHF,AUDCHF,Short Spread,2025-12-10 00:09:00,2025-12-10 23:59:00,0.7016697995061401,1.5397689343726597
2025-12-10,AUDCHF,CADCHF,Short Spread,2025-12-10 15:15:00,2025-12-10 22:14:00,1.1074918580661657,44.29756572545557
2025-12-10,EURAUD,AUDCHF,Long Spread,2025-12-10 15:16:00,2025-12-10 23:59:00,-2.017382692825846,21.755023121426348
2025-12-10,AUDCAD,EURAUD,Long Spread,2025-12-10 00:01:00,2025-12-10 23:59:00,-0.2855551452423987,-1.725452815368044
2025-12-11,CADCHF,AUDCHF,Short Spread,2025-12-11 00:20:00,2025-12-11 12:09:00,0.7118554383932671,34.19769993233422
